ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING,YEAR
UNIVERSITY OF MARYLAND COLLEGE PK CAMPUS,COLLEGE PARK,MD,UNITED STATES,124,"$36,072,318",2010
UNIVERSITY OF MARYLAND EASTERN SHORE,PRINCESS ANNE,MD,UNITED STATES,2,"$892,804",2010
UNIVERSITY OF MASSACHUSETTS AMHERST,AMHERST,MA,UNITED STATES,60,"$18,075,105",2010
UNIVERSITY OF MASSACHUSETTS BOSTON,BOSTON,MA,UNITED STATES,16,"$6,042,150",2010
UNIVERSITY OF MASSACHUSETTS BOSTON,BOSTON,MA,UNITED STATES,1,"$50,000",2010
UNIVERSITY OF MASSACHUSETTS LOWELL,LOWELL,MA,UNITED STATES,6,"$2,507,311",2010
UNIVERSITY OF MD BIOTECHNOLOGY INSTITUTE,BALTIMORE,MD,UNITED STATES,1,"$2,027,089",2010
UNIVERSITY OF MD BIOTECHNOLOGY INSTITUTE,BALTIMORE,MD,UNITED STATES,2,"$189,220",2010
UNIVERSITY OF MELBOURNE,MELBOURNE,NA,AUSTRALIA,4,"$2,345,073",2010
UNIVERSITY OF MEMPHIS,MEMPHIS,TN,UNITED STATES,8,"$2,825,050",2010
UNIVERSITY OF MIAMI CORAL GABLES,CORAL GABLES,FL,UNITED STATES,24,"$10,917,785",2010
UNIVERSITY OF MIAMI CORAL GABLES,CORAL GABLES,FL,UNITED STATES,1,"$809,175",2010
UNIVERSITY OF MIAMI ROSENTEIL SCHOOL,MIAMI,FL,UNITED STATES,1,"$548,125",2010
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,MIAMI,FL,UNITED STATES,2,"$1,081,773",2010
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,MIAMI,FL,UNITED STATES,254,"$104,691,584",2010
UNIVERSITY OF MICHIGAN AT ANN ARBOR,ANN ARBOR,MI,UNITED STATES,1052,"$470,517,923",2010
UNIVERSITY OF MICHIGAN AT ANN ARBOR,ANN ARBOR,MI,UNITED STATES,5,"$5,761,405",2010
UNIVERSITY OF MICHIGAN AT DEARBORN,DEARBORN,MI,UNITED STATES,1,"$154,500",2010
UNIVERSITY OF MILAN,MILAN,NA,ITALY,1,"$208,573",2010
UNIVERSITY OF MINNESOTA DULUTH,DULUTH,MN,UNITED STATES,1,"$134,030",2010
UNIVERSITY OF MINNESOTA TWIN CITIES,MINNEAPOLIS,MN,UNITED STATES,10,"$8,143,853",2010
UNIVERSITY OF MINNESOTA TWIN CITIES,MINNEAPOLIS,MN,UNITED STATES,590,"$255,160,166",2010
UNIVERSITY OF MISSISSIPPI,UNIVERSITY,MS,UNITED STATES,8,"$3,384,194",2010
UNIVERSITY OF MISSISSIPPI,UNIVERSITY,MS,UNITED STATES,1,"$1,020,612",2010
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,JACKSON,MS,UNITED STATES,2,"$5,325,260",2010
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,JACKSON,MS,UNITED STATES,46,"$18,481,790",2010
UNIVERSITY OF MISSOURI COLUMBIA,COLUMBIA,MO,UNITED STATES,2,"$80,000",2010
UNIVERSITY OF MISSOURI COLUMBIA,COLUMBIA,MO,UNITED STATES,139,"$48,180,233",2010
UNIVERSITY OF MISSOURI KANSAS CITY,KANSAS CITY,MO,UNITED STATES,33,"$10,216,072",2010
UNIVERSITY OF MISSOURI-ST. LOUIS,SAINT LOUIS,MO,UNITED STATES,10,"$2,772,800",2010
UNIVERSITY OF MONTANA,MISSOULA,MT,UNITED STATES,21,"$8,529,722",2010
UNIVERSITY OF MONTREAL,MONTREAL,PQ,CANADA,3,"$626,485",2010
UNIVERSITY OF MONTREAL HOSPITAL,MONTREAL,PQ,CANADA,2,"$232,767",2010
UNIVERSITY OF NAIROBI,NAIROBI,NA,KENYA,5,"$2,034,551",2010
UNIVERSITY OF NEBRASKA LINCOLN,LINCOLN,NE,UNITED STATES,45,"$15,905,719",2010
UNIVERSITY OF NEBRASKA MEDICAL CENTER,OMAHA,NE,UNITED STATES,135,"$60,120,296",2010
UNIVERSITY OF NEBRASKA OMAHA,OMAHA,NE,UNITED STATES,3,"$279,649",2010
UNIVERSITY OF NEVADA LAS VEGAS,LAS VEGAS,NV,UNITED STATES,4,"$1,097,838",2010
UNIVERSITY OF NEVADA RENO,RENO,NV,UNITED STATES,32,"$15,099,480",2010
UNIVERSITY OF NEW ENGLAND,BIDDEFORD,ME,UNITED STATES,7,"$1,180,254",2010
UNIVERSITY OF NEW HAMPSHIRE,DURHAM,NH,UNITED STATES,3,"$932,311",2010
UNIVERSITY OF NEW MEXICO,ALBUQUERQUE,NM,UNITED STATES,39,"$17,202,112",2010
UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,ALBUQUERQUE,NM,UNITED STATES,22,"$6,863,787",2010
UNIVERSITY OF NEW MEXICO SCH OF MEDICINE,ALBUQUERQUE,NM,UNITED STATES,71,"$41,970,355",2010
UNIVERSITY OF NEW SOUTH WALES,SYDNEY,NA,AUSTRALIA,2,"$407,564",2010
UNIVERSITY OF NORTH CAROLINA AT PEMBROKE,PEMBROKE,NC,UNITED STATES,1,"$104,694",2010
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,CHAPEL HILL,NC,UNITED STATES,8,"$21,347,034",2010
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,CHAPEL HILL,NC,UNITED STATES,760,"$341,434,146",2010
UNIVERSITY OF NORTH CAROLINA CHARLOTTE,CHARLOTTE,NC,UNITED STATES,7,"$1,428,599",2010
UNIVERSITY OF NORTH CAROLINA GREENSBORO,GREENSBORO,NC,UNITED STATES,19,"$5,521,647",2010
UNIVERSITY OF NORTH CAROLINA WILMINGTON,WILMINGTON,NC,UNITED STATES,6,"$2,502,069",2010
UNIVERSITY OF NORTH DAKOTA,GRAND FORKS,ND,UNITED STATES,13,"$7,645,089",2010
UNIVERSITY OF NORTH FLORIDA,JACKSONVILLE,FL,UNITED STATES,2,"$412,625",2010
UNIVERSITY OF NORTH TEXAS HLTH SCI CTR,FORT WORTH,TX,UNITED STATES,1,"$1,255,122",2010
UNIVERSITY OF NORTH TEXAS HLTH SCI CTR,FORT WORTH,TX,UNITED STATES,39,"$14,721,671",2010
UNIVERSITY OF NOTRE DAME,NOTRE DAME,IN,UNITED STATES,4,"$2,851,821",2010
UNIVERSITY OF NOTRE DAME,NOTRE DAME,IN,UNITED STATES,32,"$11,174,603",2010
UNIVERSITY OF NOTTINGHAM,NOTTINGHAM,NA,UNITED KINGDOM,1,"$224,321",2010
UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,OKLAHOMA CITY,OK,UNITED STATES,99,"$43,886,287",2010
UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,OKLAHOMA CITY,OK,UNITED STATES,1,"$22,154",2010
UNIVERSITY OF OKLAHOMA NORMAN,NORMAN,OK,UNITED STATES,13,"$4,071,761",2010
UNIVERSITY OF OREGON,EUGENE,OR,UNITED STATES,64,"$25,646,634",2010
UNIVERSITY OF OTAGO,DUNEDIN,NA,NEW ZEALAND,2,"$376,802",2010
UNIVERSITY OF OTTAWA,OTTAWA,ON,CANADA,1,"$144,354",2010
UNIVERSITY OF OXFORD,OXFORD,NA,UNITED KINGDOM,5,"$2,105,412",2010
UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PA,UNITED STATES,1121,"$481,559,772",2010
UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PA,UNITED STATES,6,"$3,650,242",2010
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PITTSBURGH,PA,UNITED STATES,14,"$20,256,639",2010
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PITTSBURGH,PA,UNITED STATES,1012,"$424,154,899",2010
UNIVERSITY OF PR CAYEY UNIVERSITY COLL,CAYEY,PR,UNITED STATES,2,"$1,282,489",2010
UNIVERSITY OF PUERTO RICO,SAN JUAN,PR,UNITED STATES,1,"$3,518,120",2010
UNIVERSITY OF PUERTO RICO AT HUMACAO,HUMACAO,PR,UNITED STATES,4,"$1,179,854",2010
UNIVERSITY OF PUERTO RICO MAYAGUEZ,Mayaguez,PR,UNITED STATES,6,"$2,829,362",2010
UNIVERSITY OF PUERTO RICO MED SCIENCES,SAN JUAN,PR,UNITED STATES,39,"$30,846,170",2010
UNIVERSITY OF PUERTO RICO RIO PIEDRAS,SAN JUAN,PR,UNITED STATES,20,"$7,436,120",2010
UNIVERSITY OF RHODE ISLAND,KINGSTON,RI,UNITED STATES,19,"$12,992,878",2010
UNIVERSITY OF RIJEKA--MEDICAL FACULTY,RIJEKA,NA,CROATIA,1,"$84,278",2010
UNIVERSITY OF ROCHESTER,ROCHESTER,NY,UNITED STATES,446,"$186,789,253",2010
UNIVERSITY OF ROCHESTER,ROCHESTER,NY,UNITED STATES,4,"$20,613,374",2010
UNIVERSITY OF SAN CARLOS,CEBU CITY,NA,PHILIPPINES,1,"$50,735",2010
UNIVERSITY OF SAN DIEGO,SAN DIEGO,CA,UNITED STATES,1,"$612,945",2010
UNIVERSITY OF SAN FRANCISCO,SAN FRANCISCO,CA,UNITED STATES,10,"$37,846,356",2010
UNIVERSITY OF SAO PAULO,SAO PAULO,NA,BRAZIL,1,"$78,606",2010
UNIVERSITY OF SOUTH ALABAMA,MOBILE,AL,UNITED STATES,27,"$10,142,717",2010
UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,COLUMBIA,SC,UNITED STATES,85,"$31,604,341",2010
UNIVERSITY OF SOUTH DAKOTA,VERMILLION,SD,UNITED STATES,10,"$6,600,876",2010
UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES,CA,UNITED STATES,343,"$195,318,935",2010
UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES,CA,UNITED STATES,4,"$3,651,933",2010
UNIVERSITY OF SOUTHERN MAINE,PORTLAND,ME,UNITED STATES,2,"$601,011",2010
UNIVERSITY OF SOUTHERN MISSISSIPPI,HATTIESBURG,MS,UNITED STATES,4,"$4,225,003",2010
UNIVERSITY OF SYDNEY,SYDNEY,NA,AUSTRALIA,6,"$1,356,009",2010
UNIVERSITY OF TENNESSEE HEALTH SCI CTR,MEMPHIS,TN,UNITED STATES,108,"$35,228,811",2010
UNIVERSITY OF TENNESSEE KNOXVILLE,KNOXVILLE,TN,UNITED STATES,24,"$7,960,109",2010
UNIVERSITY OF TENNESSEE SPACE INSTITUTE,TULLAHOMA,TN,UNITED STATES,2,"$599,135",2010
UNIVERSITY OF TEXAS ARLINGTON,ARLINGTON,TX,UNITED STATES,10,"$3,312,766",2010
UNIVERSITY OF TEXAS AUSTIN,AUSTIN,TX,UNITED STATES,202,"$55,668,701",2010
UNIVERSITY OF TEXAS DALLAS,RICHARDSON,TX,UNITED STATES,25,"$7,335,036",2010
UNIVERSITY OF TEXAS DALLAS,RICHARDSON,TX,UNITED STATES,1,"$119,062",2010
UNIVERSITY OF TEXAS EL PASO,EL PASO,TX,UNITED STATES,26,"$10,665,703",2010
UNIVERSITY OF TEXAS HLTH CTR AT TYLER,TYLER,TX,UNITED STATES,10,"$3,389,486",2010
UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,HOUSTON,TX,UNITED STATES,217,"$93,210,882",2010
UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANT,SAN ANTONIO,TX,UNITED STATES,220,"$82,101,015",2010
UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANT,SAN ANTONIO,TX,UNITED STATES,2,"$2,795,184",2010
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,HOUSTON,TX,UNITED STATES,326,"$165,830,210",2010
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,HOUSTON,TX,UNITED STATES,2,"$444,986",2010
UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,GALVESTON,TX,UNITED STATES,171,"$86,993,811",2010
UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,GALVESTON,TX,UNITED STATES,2,"$3,523,397",2010
UNIVERSITY OF TEXAS SAN ANTONIO,SAN ANTONIO,TX,UNITED STATES,38,"$11,788,246",2010
UNIVERSITY OF TEXAS SW MED CTR/DALLAS,DALLAS,TX,UNITED STATES,445,"$171,503,321",2010
UNIVERSITY OF TEXAS SW MED CTR/DALLAS,DALLAS,TX,UNITED STATES,2,"$177,930",2010
UNIVERSITY OF TEXAS-PAN AMERICAN,EDINBURG,TX,UNITED STATES,2,"$376,087",2010
UNIVERSITY OF THE DISTRICT OF COLUMBIA,WASHINGTON,DC,UNITED STATES,4,"$1,335,209",2010
UNIVERSITY OF THE INCARNATE WORD,SAN ANTONIO,TX,UNITED STATES,2,"$216,733",2010
UNIVERSITY OF THE PACIFIC-STOCKTON,STOCKTON,CA,UNITED STATES,1,"$308,360",2010
UNIVERSITY OF THE REPUBLIC,MONTEVIDEO,NA,URUGUAY,1,"$51,202",2010
UNIVERSITY OF THE SCIENCES PHILADELPHIA,PHILADELPHIA,PA,UNITED STATES,3,"$724,319",2010
UNIVERSITY OF THE VIRGIN ISLANDS,ST. THOMAS,VI,UNITED STATES,4,"$1,869,358",2010
UNIVERSITY OF TOLEDO,TOLEDO,OH,UNITED STATES,8,"$2,197,636",2010
UNIVERSITY OF TORONTO,TORONTO,ON,CANADA,15,"$5,104,508",2010
UNIVERSITY OF TULSA,TULSA,OK,UNITED STATES,3,"$320,104",2010
UNIVERSITY OF UTAH,SALT LAKE CITY,UT,UNITED STATES,15,"$18,396,373",2010
UNIVERSITY OF UTAH,SALT LAKE CITY,UT,UNITED STATES,342,"$131,361,407",2010
UNIVERSITY OF VALLE,CALI,NA,COLOMBIA,1,"$123,600",2010
UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,BURLINGTON,VT,UNITED STATES,2,"$673,555",2010
UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,BURLINGTON,VT,UNITED STATES,126,"$56,789,119",2010
UNIVERSITY OF VICTORIA,VICTORIA,BC,CANADA,2,"$608,940",2010
UNIVERSITY OF VIRGINIA CHARLOTTESVILLE,CHARLOTTESVILLE,VA,UNITED STATES,378,"$133,569,540",2010
UNIVERSITY OF WASHINGTON,SEATTLE,WA,UNITED STATES,14,"$27,900,628",2010
UNIVERSITY OF WASHINGTON,SEATTLE,WA,UNITED STATES,955,"$474,042,118",2010
UNIVERSITY OF WATERLOO,WATERLOO,ON,CANADA,2,"$1,343,709",2010
UNIVERSITY OF WEST FLORIDA,PENSACOLA,FL,UNITED STATES,1,"$364,266",2010
UNIVERSITY OF WESTERN AUSTRALIA,CRAWLEY,NA,AUSTRALIA,1,"$223,984",2010
UNIVERSITY OF WESTERN ONTARIO,LONDON,ON,CANADA,2,"$301,159",2010
UNIVERSITY OF WESTERN STATES,PORTLAND,OR,UNITED STATES,2,"$681,834",2010
UNIVERSITY OF WISCONSIN MADISON,MADISON,WI,UNITED STATES,5,"$3,283,314",2010
UNIVERSITY OF WISCONSIN MADISON,MADISON,WI,UNITED STATES,607,"$248,762,869",2010
UNIVERSITY OF WISCONSIN MILWAUKEE,MILWAUKEE,WI,UNITED STATES,34,"$9,161,599",2010
UNIVERSITY OF WYOMING,LARAMIE,WY,UNITED STATES,12,"$7,680,276",2010
UNIVERSITY OF ZAMBIA,LUSAKA,NA,ZAMBIA,2,"$1,691,000",2010
UNIVERSITY OF ZIMBABWE,HARARE,NA,ZIMBABWE,2,"$870,000",2010
UNIVERSITY OF ZURICH,ZURICH,NA,SWITZERLAND,2,"$430,034",2010
UNIVERSITY TEACHING HOSPITAL,LUSAKA,NA,ZAMBIA,1,"$37,422",2010
UPMC MC KEESPORT,MCKEESPORT,PA,UNITED STATES,1,"$247,575",2010
UPPSALA UNIVERSITY,UPPSALA,NA,SWEDEN,1,"$1,080,000",2010
UPSTATE MEDICAL UNIVERSITY,SYRACUSE,NY,UNITED STATES,67,"$21,990,853",2010
URBAN INSTITUTE,WASHINGTON,DC,UNITED STATES,1,"$294,200",2010
"US BIOTEST, INC.",SAN LUIS OBISPO,CA,UNITED STATES,0,"$207,309",2010
UTAH STATE UNIVERSITY,LOGAN,UT,UNITED STATES,4,"$807,113",2010
UTAH STATE UNIVERSITY,LOGAN,UT,UNITED STATES,9,"$1,872,585",2010
"UT-BATTELLE, LLC-OAK RIDGE NATIONAL LAB",OAK RIDGE,TN,UNITED STATES,3,"$1,077,029",2010
UTILITY WORKERS UNION OF AMERICA,WASHINGTON,DC,UNITED STATES,1,"$407,495",2010
VACCINE AND GENE THERAPY INSTITUTE-FLA,PORT SAINT LUCIE,FL,UNITED STATES,1,"$762,300",2010
VACCINE RESEARCH INSTITUTE OF SAN DIEGO,SAN DIEGO,CA,UNITED STATES,2,"$1,384,317",2010
"VALA SCIENCES, INC.",SAN DIEGO,CA,UNITED STATES,1,"$207,803",2010
"VALA SCIENCES, INC.",SAN DIEGO,CA,UNITED STATES,1,"$270,126",2010
VALDEZ AND ASSOCIATES,MOUNTAIN VIEW,CA,UNITED STATES,1,"$66,141",2010
"VALIDUS BIOPHARMA, INC.",ROCKVILLE,MD,UNITED STATES,1,"$178,857",2010
VALLEY FEVER THERAPIES LLC,TUCSON,AZ,UNITED STATES,1,"$350,119",2010
"VALLEY MEDICAL ASSOCIATES, INC.",SPRINGFIELD,MA,UNITED STATES,1,"$176,205",2010
"VALVEXCHANGE, INC.",AURORA,CO,UNITED STATES,2,"$631,922",2010
VAN ANDEL RESEARCH INSTITUTE,GRAND RAPIDS,MI,UNITED STATES,11,"$3,562,899",2010
VANDERBILT UNIVERSITY,NASHVILLE,TN,UNITED STATES,749,"$322,051,798",2010
VANDERBILT UNIVERSITY,NASHVILLE,TN,UNITED STATES,2,"$3,064,747",2010
"VASADE BIOSCIENCES, INC.",BARNEGAT LIGHT,NJ,UNITED STATES,3,"$817,193",2010
VASCULAR PHARMACEUTICALS,BURLINGTON,NC,UNITED STATES,1,"$470,596",2010
VASCULAR VISION PHARMACEUTICALS COMPANY,WYNANTSKILL,NY,UNITED STATES,1,"$159,306",2010
"VASCULOMEDICS, INC.",JAMAICA PLAIN,MA,UNITED STATES,1,"$150,125",2010
"VASOTECH, INC.","SHREWSBURY,",MA,UNITED STATES,1,"$593,706",2010
"VAXART, INC.",SAN FRANCISCO,CA,UNITED STATES,1,"$850,927",2010
VAXIN INC.,BIRMINGHAM,AL,UNITED STATES,1,"$342,163",2010
VAXINE PTY LTD,BEDFORD PARK,NA,AUSTRALIA,1,"$1,886,967",2010
"VECNA TECHNOLOGIES, INC.",Greenbelt,MD,UNITED STATES,1,"$77,633",2010
"VEGRANDIS, LLC",FAYETTEVILLE,AR,UNITED STATES,1,"$201,017",2010
"VENATORX PHARMACEUTICALS, INC.",MALVERN,PA,UNITED STATES,1,"$792,656",2010
VENTRIA BIOSCIENCE,FORT COLLINS,CO,UNITED STATES,4,"$1,767,726",2010
"VENTRINOVA, INC.",New York,NY,UNITED STATES,1,"$249,999",2010
"VERACHEM, LLC",GERMANTOWN,MD,UNITED STATES,1,"$140,802",2010
"VESTAN, INC.",SALT LAKE CITY,UT,UNITED STATES,1,"$999,419",2010
"VET THERAPEUTICS, INC.",DEL MAR,CA,UNITED STATES,1,"$154,000",2010
VETERANS BIOMEDICAL RESEARCH INSTITUTE,EAST ORANGE,NJ,UNITED STATES,4,"$1,447,758",2010
VETERANS MEDICAL RESEARCH FDN/SAN DIEGO,SAN DIEGO,CA,UNITED STATES,25,"$10,582,634",2010
VIA CHRISTI REG MED CTR-ST. FRANCIS CMPS,WICHITA,KS,UNITED STATES,1,"$1,908,860",2010
"VIDA DIAGNOSTICS, INC.",IOWA CITY,IA,UNITED STATES,1,"$602,467",2010
"VIDA HEALTH COMMUNICATIONS, INC.",CAMBRIDGE,MA,UNITED STATES,2,"$618,287",2010
"VIEWPLUS TECHNOLOGIES, INC.",CORVALLIS,OR,UNITED STATES,1,"$362,283",2010
VILLA JULIE COLLEGE,STEVENSON,MD,UNITED STATES,1,"$104,781",2010
"VIRAL GENOMIX, INC.",BLUE BELL,PA,UNITED STATES,1,"$5,258,144",2010
"VIRAL THERAPEUTICS, INC.",ITHACA,NY,UNITED STATES,1,"$200,000",2010
VIRGIN INSTRUMENTS CORPORATION,SUDBURY,MA,UNITED STATES,5,"$1,098,031",2010
VIRGINIA COLLEGE OF OSTEOPATHIC MEDICINE,BLACKSBURG,VA,UNITED STATES,3,"$935,424",2010
VIRGINIA COMMONWEALTH UNIVERSITY,RICHMOND,VA,UNITED STATES,3,"$4,448,725",2010
VIRGINIA COMMONWEALTH UNIVERSITY,RICHMOND,VA,UNITED STATES,236,"$82,247,806",2010
VIRGINIA POLYTECHNIC INST AND ST UNIV,BLACKSBURG,VA,UNITED STATES,3,"$11,771,877",2010
VIRGINIA POLYTECHNIC INST AND ST UNIV,BLACKSBURG,VA,UNITED STATES,52,"$15,893,114",2010
VIRGINIA STATE UNIVERSITY,PETERSBURG,VA,UNITED STATES,1,"$758,519",2010
"VIRION SYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,3,"$1,068,311",2010
"VIROGENICS, INC.",DEL MAR,CA,UNITED STATES,1,"$785,649",2010
"VIROGENOMICS, INC.",TIGARD,OR,UNITED STATES,4,"$1,140,630",2010
"VIRONIKA, LLC",Philadelphia,PA,UNITED STATES,1,"$76,143",2010
"VIRTUAL PHANTOMS, INC.",ALBANY,NY,UNITED STATES,1,"$150,000",2010
"VIRTUALLY BETTER, INC.",DECATUR,GA,UNITED STATES,2,"$527,162",2010
"VIRTUALSCOPICS, INC.",ROCHESTER,NY,UNITED STATES,1,"$89,568",2010
VISDEX CORPORATION,BERKELEY,CA,UNITED STATES,1,"$153,908",2010
"VISION OPTIMIZATION, LLC",COLUMBUS,OH,UNITED STATES,1,"$389,432",2010
"VISIONGATE, INC.",GIG HARBOR,WA,UNITED STATES,2,"$378,858",2010
VISIONQUEST BIOMEDICAL,ALBUQUERQUE,NM,UNITED STATES,2,"$774,636",2010
"VISIONQUEST BIOMEDICAL, LLC",ALBUQUERQUE,NM,UNITED STATES,1,"$249,801",2010
"VISONEX, LLC",GREEN BAY,WI,UNITED STATES,1,"$468,263",2010
"VISOTEK, INC.",LIVONIA,MI,UNITED STATES,1,"$175,785",2010
"VISTA ENGINEERING, INC.",BIRMINGHAM,AL,UNITED STATES,1,"$171,844",2010
"VISTAGEN THERAPEUTICS, INC.",SOUTH SAN FRANCISCO,CA,UNITED STATES,1,"$2,134,801",2010
"VITACYTE, LLC",INDIANAPOLIS,IN,UNITED STATES,1,"$1,337,037",2010
"VITATEX, INC.",STONY BROOK,NY,UNITED STATES,1,"$702,879",2010
VIVID TECHNOLOGIES,HOUSTON,TX,UNITED STATES,1,"$173,170",2010
"VIVO BIOSCIENCES, INC.",BIRMINGHAM,AL,UNITED STATES,1,"$130,000",2010
"VLP BIOTECH, INC.",SAN DIEGO,CA,UNITED STATES,1,"$299,513",2010
"VM DISCOVERY, INC.",FREMONT,CA,UNITED STATES,1,"$198,224",2010
"VORTANT TECHNOLOGIES, LLC",WEAVERVILLE,NC,UNITED STATES,3,"$722,818",2010
"VPDIAGNOSTICS, INC.",SEATTLE,WA,UNITED STATES,1,"$222,249",2010
VRIJE UNIVERSITEIT,AMSTERDAM,NA,NETHERLANDS,1,"$131,769",2010
WADSWORTH CENTER,Menands,NY,UNITED STATES,1,"$1,098,292",2010
WADSWORTH CENTER,Menands,NY,UNITED STATES,44,"$18,812,373",2010
WAKE FOREST UNIVERSITY,WINSTON-SALEM,NC,UNITED STATES,6,"$2,006,770",2010
WAKE FOREST UNIVERSITY HEALTH SCIENCES,WINSTON-SALEM,NC,UNITED STATES,8,"$29,085,623",2010
WAKE FOREST UNIVERSITY HEALTH SCIENCES,WINSTON-SALEM,NC,UNITED STATES,246,"$95,999,638",2010
WALTER AND ELIZA HALL INST MEDICAL RES,VICTORIA,NA,AUSTRALIA,1,"$237,320",2010
WARREN CANCER RESEARCH FOUNDATION,TULSA,OK,UNITED STATES,1,"$661,544",2010
"WASHBURN THERAPEUTICS, INC.",PITTSBURGH,PA,UNITED STATES,1,"$185,770",2010
WASHINGTON STATE UNIVERSITY,PULLMAN,WA,UNITED STATES,56,"$16,245,836",2010
WASHINGTON STATE UNIVERSITY,PULLMAN,WA,UNITED STATES,2,"$575,450",2010
WASHINGTON UNIVERSITY,SAINT LOUIS,MO,UNITED STATES,4,"$22,269,005",2010
WASHINGTON UNIVERSITY,SAINT LOUIS,MO,UNITED STATES,797,"$386,470,071",2010
"WAVE 80 BIOSCIENCES, INC.",SAN FRANCISCO,CA,UNITED STATES,1,"$699,223",2010
WAYNE STATE UNIVERSITY,DETROIT,MI,UNITED STATES,9,"$22,173,678",2010
WAYNE STATE UNIVERSITY,DETROIT,MI,UNITED STATES,170,"$57,807,199",2010
WEBSCIENCES INTERNATIONAL,LOS ANGELES,CA,UNITED STATES,1,"$401,724",2010
"WEIDLINGER ASSOCIATES, INC.",NEW YORK,NY,UNITED STATES,1,"$99,999",2010
WEILL MEDICAL COLLEGE OF CORNELL UNIV,NEW YORK,NY,UNITED STATES,268,"$112,590,734",2010
WEIS CENTER FOR RESEARCH-GEISINGER CLINC,DANVILLE,PA,UNITED STATES,5,"$2,012,568",2010
WEIZMANN INSTITUTE OF SCIENCE,REHOVOT,NA,ISRAEL,6,"$1,432,747",2010
WELLESLEY COLLEGE,WELLESLEY,MA,UNITED STATES,2,"$574,501",2010
"WELT BIO-MOLECULAR PHARMACEUTICAL, LLC",ARMONK,NY,UNITED STATES,1,"$127,330",2010
WESLEYAN UNIVERSITY,MIDDLETOWN,CT,UNITED STATES,11,"$2,203,834",2010
WEST CHESTER UNIVERSITY OF PENNSYLVANIA,WEST CHESTER,PA,UNITED STATES,2,"$334,927",2010
WEST MICHIGAN CANCER CENTER,KALAMAZOO,MI,UNITED STATES,1,"$460,631",2010
WEST VIRGINIA UNIVERSITY,MORGANTOWN,WV,UNITED STATES,54,"$17,842,838",2010
"WESTAT, INC.",ROCKVILLE,MD,UNITED STATES,16,"$92,630,547",2010
"WESTAT, INC.",ROCKVILLE,MD,UNITED STATES,2,"$11,595,521",2010
WESTERN INTERSTATE COMMISSION HIGHER ED,BOULDER,CO,UNITED STATES,1,"$132,935",2010
WESTERN MICHIGAN UNIVERSITY,KALAMAZOO,MI,UNITED STATES,4,"$1,752,329",2010
"WESTERN RESEARCH COMPANY, INC.",TUCSON,AZ,UNITED STATES,3,"$967,265",2010
WESTERN UNIVERSITY OF HEALTH SCIENCES,POMONA,CA,UNITED STATES,1,"$37,125",2010
WESTERN WASHINGTON UNIVERSITY,BELLINGHAM,WA,UNITED STATES,2,"$647,193",2010
WHEELING JESUIT UNIVERSITY,WHEELING,WV,UNITED STATES,1,"$256,928",2010
"WHITE POINT SYSTEMS, INC.",FRIDAY HARBOR,WA,UNITED STATES,1,"$93,752",2010
WHITEHEAD INSTITUTE FOR BIOMEDICAL RES,CAMBRIDGE,MA,UNITED STATES,41,"$18,710,592",2010
WHITMAN COLLEGE,WALLA WALLA,WA,UNITED STATES,1,"$202,400",2010
WHITTEMORE PETERSON INSTITUTE,Reno,NV,UNITED STATES,1,"$322,097",2010
WICHITA STATE UNIVERSITY,WICHITA,KS,UNITED STATES,1,"$1,259,142",2010
WILKES UNIVERSITY,WILKES-BARRE,PA,UNITED STATES,1,"$218,784",2010
WILLIAM BEAUMONT HOSPITAL RESEARCH INST,ROYAL OAK,MI,UNITED STATES,3,"$1,809,015",2010
WILLIAMS COLLEGE,WILLIAMSTOWN,MA,UNITED STATES,2,"$539,354",2010
WILSON INFORMATION SERVICES CORPORATION,NEW MARKET,MD,UNITED STATES,1,"$2,329,000",2010
